drug_name,avg_sentiment,review_count,pct_negative,pct_positive,price_median_unit,price_cv,generic_available,price_30day,shortage_total,shortage_active,has_active_shortage,adverse_total,adverse_unique_types,adverse_log_total,trial_total,trial_completed,trial_completion_rate,pubmed_total,pubmed_recent,pubmed_recency_ratio
acetaminophen,-0.1049929648241206,199,0.4824120603015075,0.3417085427135678,0.14998,1.9702686380325007,1.0,4.4994,0.0,0.0,0.0,500,251,6.2166061010848646,200,117,0.585,150,33,0.22
albuterol,-0.1587470588235294,85,0.5882352941176471,0.29411764705882354,0.26296,1.660386646314348,1.0,7.888800000000001,14.0,14.0,1.0,500,287,6.2166061010848646,200,151,0.755,150,28,0.18666666666666668
alprazolam,-0.110396336996337,273,0.4981684981684982,0.40293040293040294,0.0251,2.0857019067499163,1.0,0.753,0.0,0.0,0.0,500,288,6.2166061010848646,107,74,0.6915887850467289,150,21,0.14
amlodipine,-0.33196254295532646,291,0.6872852233676976,0.2508591065292096,0.11862,2.500422352374776,1.0,3.5586,6.0,6.0,1.0,500,299,6.2166061010848646,200,143,0.715,150,28,0.18666666666666668
amoxicillin,-0.194625,100,0.55,0.4,0.04382,0.7390552234462753,1.0,1.3146,0.0,0.0,0.0,500,370,6.2166061010848646,200,107,0.535,150,35,0.23333333333333334
apixaban,-0.03919999999999999,100,0.5,0.5,0.0,0.0,0.0,260.0,0.0,0.0,0.0,500,276,6.2166061010848646,200,113,0.565,150,68,0.4533333333333333
atorvastatin,0.1044,8,0.5,0.5,0.034,0.4277377608352428,1.0,1.02,0.0,0.0,0.0,200,73,5.303304908059076,200,121,0.605,50,18,0.36
azithromycin,-0.10867999999999998,100,0.5,0.45,0.37667,2.5447863642707347,1.0,11.3001,4.0,4.0,1.0,500,277,6.2166061010848646,200,118,0.59,150,61,0.4066666666666667
bupropion,-0.10161000000000002,100,0.55,0.45,0.09466,3.855847412310292,1.0,2.8398,0.0,0.0,0.0,500,321,6.2166061010848646,200,139,0.695,150,24,0.16
carvedilol,-0.33759999999999996,100,0.75,0.2,0.02044,2.404204027311618,1.0,0.6132,0.0,0.0,0.0,500,283,6.2166061010848646,200,100,0.5,150,23,0.15333333333333332
clonazepam,-0.1921,275,0.5636363636363636,0.3418181818181818,0.03593,1.2706121744070735,1.0,1.0778999999999999,14.0,14.0,1.0,500,286,6.2166061010848646,54,29,0.5370370370370371,150,20,0.13333333333333333
clopidogrel,-0.18006652892561983,242,0.5454545454545454,0.26859504132231404,0.06027,2.0222309517963137,1.0,1.8080999999999998,0.0,0.0,0.0,500,271,6.2166061010848646,200,112,0.56,150,33,0.22
cyclobenzaprine,0.171375,100,0.4,0.55,0.01908,2.85034338499195,1.0,0.5724,0.0,0.0,0.0,500,333,6.2166061010848646,59,36,0.6101694915254238,141,27,0.19148936170212766
digoxin,-0.11832631578947368,95,0.5263157894736842,0.3157894736842105,0.1455,2.951786959764481,1.0,4.364999999999999,0.0,0.0,0.0,500,279,6.2166061010848646,200,141,0.705,150,12,0.08
diltiazem,-0.34441000000000005,100,0.7,0.2,0.30387,1.0917906073220969,1.0,9.1161,3.0,3.0,1.0,500,346,6.2166061010848646,131,80,0.6106870229007634,150,13,0.08666666666666667
doxycycline,-0.33895,100,0.7,0.3,0.15252,2.8833990006512202,1.0,4.5756,4.0,4.0,1.0,500,272,6.2166061010848646,200,112,0.56,150,36,0.24
dulaglutide,-0.24968,100,0.7,0.3,0.0,0.0,0.0,1087.0,0.0,0.0,0.0,500,177,6.2166061010848646,134,93,0.6940298507462687,146,107,0.7328767123287672
