drug_name,avg_sentiment,review_count,pct_negative,pct_positive,sentiment_std,condition_diversity,review_recency,drug_age,is_new_drug,class_ace_inhibitor,class_alpha_blocker,class_analgesic_nsaid,class_antibiotic,class_anticoagulant,class_anticonvulsant,class_antidepressant_other,class_antiplatelet,class_arb,class_benzodiazepine,class_beta_blocker,class_calcium_channel_blocker,class_cardiac_glycoside,class_corticosteroid,class_diabetes_oral,class_diuretic,class_glp1,class_insulin,class_muscle_relaxant,class_opioid,class_ppi,class_respiratory,class_sglt2,class_sleep,class_ssri,class_statin,class_thyroid,price_median_unit,price_cv,generic_available,n_manufacturers,price_30day,price_log,shortage_total,shortage_active,has_active_shortage,adverse_total,adverse_unique,adverse_log,trial_total,trial_completed,trial_completion_rate,pubmed_total,pubmed_recent,pubmed_recency_ratio
acetaminophen,-0.1049929648241206,199.0,0.4824120603015075,0.3417085427135678,0.5010883629920115,0.0,0.08040201005025126,69,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.14998,1.9702686380325007,1.0,2000.0,4.4994,1.7046389953784882,0.0,0.0,0.0,500,251,6.2166061010848646,200,0,0.0,150,33,0.22
albuterol,-0.15874705882352944,85.0,0.5882352941176471,0.29411764705882354,0.526684361650052,7.0,0.29411764705882354,43,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.26296,1.660386646314348,1.0,2000.0,7.888800000000001,2.184792057287662,14.0,14.0,1.0,500,287,6.2166061010848646,200,0,0.0,150,28,0.18666666666666668
alprazolam,-0.11039633699633701,273.0,0.4981684981684982,0.40293040293040294,0.6368646045631337,0.0,0.2564102564102564,43,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0251,2.0857019067499163,1.0,2000.0,0.753,0.5613286059390975,0.0,0.0,0.0,500,288,6.2166061010848646,107,0,0.0,150,21,0.14
amlodipine,-0.33196254295532646,291.0,0.6872852233676976,0.2508591065292096,0.5929827329047332,0.0,0.6838487972508591,32,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.11862,2.500422352374776,1.0,2000.0,3.5586,1.5170155588429004,6.0,6.0,1.0,500,299,6.2166061010848646,200,0,0.0,150,28,0.18666666666666668
amoxicillin,-0.19462500000000005,100.0,0.55,0.4,0.5887349988438231,11.0,0.95,50,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.04382,0.7390552234462753,1.0,2000.0,1.3146,0.8392368864318404,0.0,0.0,0.0,500,370,6.2166061010848646,200,0,0.0,150,35,0.23333333333333334
apixaban,-0.0392,100.0,0.5,0.5,0.5471423133985446,7.0,1.0,12,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8.666666666666666,0.0,0.0,1.0,260.0,5.564520407322694,0.0,0.0,0.0,500,276,6.2166061010848646,200,0,0.0,150,68,0.4533333333333333
atorvastatin,0.10439999999999999,8.0,0.5,0.5,0.8641868977748473,2.0,0.0,28,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.034,0.4277377608352428,1.0,2000.0,1.02,0.7030975114131134,0.0,0.0,0.0,200,73,5.303304908059076,200,0,0.0,50,18,0.36
azithromycin,-0.10868,100.0,0.5,0.45,0.7179602578967668,10.0,1.0,33,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.37667,2.5447863642707347,1.0,2000.0,11.3001,2.5096073924266236,4.0,4.0,1.0,500,277,6.2166061010848646,200,0,0.0,150,61,0.4066666666666667
bupropion,-0.10161000000000002,100.0,0.55,0.45,0.570622196210488,2.0,1.0,39,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.09466,3.855847412310292,1.0,2000.0,2.8398,1.3454202819099181,0.0,0.0,0.0,500,321,6.2166061010848646,200,0,0.0,150,24,0.16
carvedilol,-0.33760000000000007,100.0,0.75,0.2,0.4808093513267315,7.0,1.0,29,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.02044,2.404204027311618,1.0,2000.0,0.6132,0.478219784017076,0.0,0.0,0.0,500,283,6.2166061010848646,200,0,0.0,150,23,0.15333333333333332
