label,coef,abs_coef
Drug Price (30-day generic),-0.03614985049379742,0.03614985049379742
Clinical Trial Volume,-0.031074402340343615,0.031074402340343615
Generic Available,-0.030971033251778152,0.030971033251778152
Currently in Shortage,-0.02951321791100356,0.02951321791100356
Adverse Event Diversity,-0.029082852767842404,0.029082852767842404
Recent Research Ratio,-0.02501827389451632,0.02501827389451632
Trial Completion Rate,0.009020668132796585,0.009020668132796585
Total Shortage History,0.013540304798793151,0.013540304798793151
Adverse Event Volume,0.014238223337767081,0.014238223337767081
Price Variability (CV),0.03430133131734435,0.03430133131734435
