label,coef,abs_coef
Review Recency,-0.04382213414588103,0.04382213414588103
Drug Class: arb,-0.03698404970032825,0.03698404970032825
Generic Available,-0.03311303896035649,0.03311303896035649
Drug Class: sglt2,-0.024578607724875523,0.024578607724875523
Drug Class: ace_inhibitor,-0.0202360120040085,0.0202360120040085
Adverse Event Diversity,-0.01995512669947183,0.01995512669947183
Active Shortage,-0.01843135826296668,0.01843135826296668
Recent Research Ratio,-0.01787543504073267,0.01787543504073267
Drug Class: benzodiazepine,-0.016888317829598157,0.016888317829598157
Drug Class: statin,-0.01622437422542864,0.01622437422542864
Drug Class: opioid,-0.015206012057172036,0.015206012057172036
Drug Price (log),-0.014174990386187527,0.014174990386187527
Drug Class: ppi,-0.011715029010333647,0.011715029010333647
New Drug (post-2010),-0.010646880849086866,0.010646880849086866
Drug Class: glp1,-0.008684098292706199,0.008684098292706199
Drug Price (30-day),-0.008049196381389127,0.008049196381389127
Trial Volume,-0.007995533165859457,0.007995533165859457
Price Variability,-0.007333818933528981,0.007333818933528981
Drug Class: diabetes_oral,-0.00670339157339955,0.00670339157339955
Condition Diversity,-0.0027587031944305003,0.0027587031944305003
Drug Class: cardiac_glycoside,-0.0024713138250462455,0.0024713138250462455
Drug Class: antiplatelet,-0.0011898377551793746,0.0011898377551793746
Number of Manufacturers,-0.0006702438052484477,0.0006702438052484477
Drug Class: ssri,-0.00022598266191918164,0.00022598266191918164
Drug Class: antibiotic,0.0005769281234016114,0.0005769281234016114
Drug Class: respiratory,0.0011930283837837687,0.0011930283837837687
Total Shortage History,0.0020561609415837706,0.0020561609415837706
Drug Class: thyroid,0.0022721439891727367,0.0022721439891727367
Drug Class: calcium_channel_blocker,0.0035503246001146326,0.0035503246001146326
Drug Class: alpha_blocker,0.003768708973777984,0.003768708973777984
Drug Class: corticosteroid,0.004057653827778776,0.004057653827778776
Drug Class: beta_blocker,0.004934851673814864,0.004934851673814864
Drug Age (years),0.00601760176953228,0.00601760176953228
Drug Class: analgesic_nsaid,0.007335032120160083,0.007335032120160083
Drug Class: anticoagulant,0.007893052634439148,0.007893052634439148
Drug Class: insulin,0.008160676747828522,0.008160676747828522
Adverse Event Volume,0.009247441789969425,0.009247441789969425
Drug Class: sleep,0.011095702616854683,0.011095702616854683
Drug Class: diuretic,0.013288849466891604,0.013288849466891604
Drug Class: antidepressant_other,0.016278813834136194,0.016278813834136194
Drug Class: anticonvulsant,0.038351884542507035,0.038351884542507035
Drug Class: muscle_relaxant,0.045232494287890695,0.045232494287890695
Sentiment Polarization,0.06449634726697337,0.06449634726697337
