drug_name,generic_name,dosage_form,shortage_reason,start_date,end_date,status,company,source_url,scraped_at
Albuterol Sulfate Solution,Albuterol Sulfate Solution,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.160896
Amino Acid Injection,Amino Acid Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.160939
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.160973
Atropine Sulfate Injection,Atropine Sulfate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161004
Azacitidine Injection,Azacitidine Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161033
Bacitracin Ophthalmic Ointment,Bacitracin Ophthalmic Ointment,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161063
Bumetanide Injection,Bumetanide Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161092
Bupivacaine Hydrochloride Injection,Bupivacaine Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161120
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection","Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161148
Carboplatin Injection,Carboplatin Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161177
"Cefotaxime Sodium Powder, for Solution","Cefotaxime Sodium Powder, for Solution",,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161206
Clindamycin Phosphate Injection,Clindamycin Phosphate Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161234
Clonazepam Tablet,Clonazepam Tablet,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161262
Conivaptan Hydrochloride Injection,Conivaptan Hydrochloride Injection,,,,,Current,,https://www.accessdata.fda.gov/scripts/drugshortages,2026-03-05T21:56:44.161290
